891611,048107070496,GNC健安喜双倍鱼油软胶囊,90粒,心脑血管
887967,048107069780,GNC健安喜深海鱼油软胶囊（1000mg）,180粒,心脑血管
870211,048107006372,GNC健安喜三重卵磷脂软胶囊,100粒,心脑血管
955522,048107078782,GNC健安喜瓜拉纳精华复合片,60粒,体重管理
037621,048107004392,GNC健安喜左旋肉碱胶囊,60粒,体重管理
198021,048107064884,GNC健安喜葡萄籽精华胶囊,100粒,容颜
297712,048107086466,GNC健安喜水解胶原蛋白多种营养片（原名水解胶原蛋白维生素复合片）,60片,容颜
094566,048107070298,GNC健安喜固加力复合片,90片,骨骼关节
198024,048107108960,GNC健安喜葡萄籽精华胶囊,100粒,容颜
422824,048107111342,GNC健安喜螺旋藻胶囊,30粒,抵抗力
133566,048107063658,GNC健安喜健安喜针叶樱桃柑橘咀嚼片,90片,抵抗力
F20180,6954314400275,GNC左旋肉碱胶囊+瓜拉纳精华促销装 ,,体重管理
871211,048107006976,GNC健安喜锯棕榈复合片,120片,泌尿生殖
893123,048107108496,GNC健安喜浓缩鱼油软胶囊,60粒,心脑血管
893122,048107080587,GNC健安喜浓缩鱼油软胶囊,60粒,心脑血管
703911,048107006907,GNC健安喜免疫球蛋白胶囊,60粒,抵抗力
514523,048107086619,GNC健安喜男性多种营养复合片（原名男性多种维生素复合片）,90片,基础营养
514423,048107086602,GNC健安喜女性多种营养复合片（原名女性多种维生素复合片）,90片,基础营养
094766,048107019044,GNC健安喜固加力软胶囊（原名钙镁软胶囊）,90粒,骨骼关节
439112,048107039349,GNC健安喜苹果醋复合片,90片,体重管理
198423,048107108533,GNC健安喜石榴精华胶囊,50粒,容颜
198411,048107066987,GNC健安喜石榴精华胶囊,50粒,容颜
888621,048107083953,GNC健安喜深海鱼油软胶囊,90粒,心脑血管
256014,048107029647,GNC健安喜玉叶酵母营养片（原名叶酸片）,100片,孕妇营养
553711,048107058432,GNC健安喜海洋固加力胶囊（原名珊瑚钙胶囊）,60粒,骨骼关节
135011,048107048150,GNC健安喜褪黑素片,60片,睡眠
099413,6954314400145,GNC健安喜玫瑰果精华营养片（原名维生素C营养片）,100片,抵抗力
198025,048107111151,GNC健安喜葡萄籽精华胶囊,30粒,容颜
133521,6954314400138,GNC健安喜针叶樱桃柑橘咀嚼片（原名维生素C咀嚼片）,180片,抵抗力
133123,048107110543,GNC健安喜鱼油软胶囊,30粒,心脑血管
106524,048107111052,GNC健安喜浓缩卵磷脂软胶囊,30粒,心脑血管
196924,048107111069,GNC健安喜蓝莓精华胶囊,30粒,眼部营养
198711,048107067533,GNC健安喜紫锥菊精华胶囊,100粒,抵抗力
005766,048107016227,GNC健安喜珍希酵母营养片（原名硒元素片）,100片,基础营养
079566,048107069841,GNC健安喜小麦胚芽油软胶囊(原名：天然维生素E软胶囊),100粒,容颜
760423,048107113636,GNC健安喜左旋肉碱片,30粒,体重管理
164611,048107011765,GNC健安喜女性伴侣营养复合片（原名铁质叶酸复合片）,60片,基础营养
265466,048107068370,GNC健安喜亚麻籽油软胶囊,90粒,心脑血管
873566,048107019082,GNC健安喜鳕鱼肝油软胶囊,100粒,骨骼关节
101866,048107068998,GNC健安喜牡蛎精华片（原名锌铜片）,90片,抵抗力
421266,048107063092,GNC健安喜亚麻籽皮粉胶囊,90粒,肝肠胃
107766,048107072230,GNC健安喜南瓜籽油软胶囊,100粒,泌尿生殖
126321,048107030124,GNC健安喜DHA软胶囊,60粒,脑力智力
421066,048107063078,GNC健安喜野山药精华胶囊,90粒,内分泌
038311,048107088385,GNC健安喜氨基酸螯合物胶囊（原名螯合铁胶囊）,90粒,基础营养
439113,048107116132,GNC健安喜苹果醋复合片,90片,体重管理
704466,048107069544,GNC健安喜辅酶Q10软胶囊,60粒,心脑血管
425166,048107063382,GNC健安喜蔓越莓精华胶囊,90粒,泌尿生殖
000511,048107007355,GNC健安喜啤酒酵母片,500片,基础营养
422866,048107063122,GNC健安喜螺旋藻胶囊,90粒,抵抗力
720611,048107002541,GNC健安喜鱼油复合软胶囊,120粒,心脑血管
119723,048107109356,GNC健安喜柠檬酸加力复合片,180片,骨骼关节
197721,048107090067,GNC健安喜生姜精华胶囊,100粒,肝肠胃
516323,048107086633,GNC健安喜活力加酵母胶囊（原名维生素B族复合胶囊）,90片,基础营养
440966,048107070274,GNC健安喜鲨鱼肝油软胶囊,90粒,脑力智力
420012,048107019037,GNC健安喜浓缩大豆异黄酮胶囊,90粒,内分泌
413466,048107063191,GNC健安喜低聚果糖复合胶囊,120粒,肝肠胃
199012,048107068585,GNC健安喜绿茶精华胶囊,100粒,容颜
265620,048107006839,GNC健安喜月见草油软胶囊,90粒,内分泌
133966,048107069520,GNC健安喜鲑鱼油软胶囊,180粒,心脑血管
183503,048107097165,GNC健安喜葡萄籽大蒜复合胶囊,60粒,容颜
196911,048107064938,GNC健安喜蓝莓精华胶囊,100粒,眼部营养
191431,048107090104,GNC健安喜蔓越莓胶囊,100粒,泌尿生殖
030766,048107018979,GNC健安喜浓缩无味大蒜片,100片,心脑血管
000211,048107014339,GNC健安喜鲨鱼软骨精华片,90片,骨骼关节
183803,048107097189,GNC健安喜菊花维生素C复合胶囊,60粒,抵抗力
106523,048107108489,GNC健安喜浓缩卵磷脂软胶囊（100粒）,100粒,心脑血管
F20123,6954314400077,GNC左旋肉碱片+瓜拉纳精华促销装,,体重管理
515266,048107086916,GNC健安喜诺丽果胶囊,100粒,肝肠胃
199511,048107068752,GNC健安喜西番莲复合胶囊,100粒,睡眠
350551,048107047979,GNC健安喜大豆蛋白粉（巧克力口味）,454g,运动营养
350927,048107080099,GNC健安喜大豆蛋白粉（香草口味）,454g,运动营养
350947,048107043360,GNC健安喜乳清蛋白粉（巧克力口味）,454g,运动营养
350948,048107080433,GNC健安喜乳清蛋白粉（香草口味）,454g,运动营养
180111,048107070717,GNC健安喜多种蔬果营养片,90片,基础营养
281003,016185019867,GNC水解胶原蛋白粉,198克,容颜
